"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2024","Engines; for marine propulsion, (other than outboard motors), spark-ignition reciprocating or rotary internal combustion piston engines","Import","35569.529","3706","No Quantity",""
"Albania","2024","Engines; reciprocating piston engines, of a kind used for the propulsion of vehicles of chapter 87, of a cylinder capacity exceeding 50cc but not exceeding 250cc","Import","84492.691","19205.8","No Quantity",""
"Albania","2024","Engines; reciprocating piston engines, of a kind used for the propulsion of vehicles of chapter 87, of a cylinder capacity exceeding 1000cc","Import","737399.448","354296.96","Number of items","292.286"
"Albania","2024","Engines; rotary internal combustion piston engines, for other than aircraft or marine propulsion","Import","2056028.515","186572.48","No Quantity",""
"Albania","2024","Engines; for marine propulsion, compression-ignition internal combustion piston engines (diesel or semi-diesel engines)","Import","88444.635","21367.2","No Quantity",""
"Albania","2024","Engines; for marine propulsion, compression-ignition internal combustion piston engines (diesel or semi-diesel engines)","Export","1900077.829","17312","Number of items","12"
"Albania","2024","Engines; compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of chapter 87","Import","505224.658","225279","No Quantity",""
"Albania","2024","Engines; compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for other than marine propulsion or the vehicles of chapter 87","Import","2300927.964","269889.52","Number of items","175.675"
"Albania","2024","Engines; parts, suitable for use solely or principally with spark-ignition internal combustion piston engines (for other than aircraft)","Import","3830640.11","99457.957","Weight in kilograms","99457.957"
"Albania","2024","Engines; parts for internal combustion piston engines (excluding spark-ignition)","Import","5058320.857","130721.49","Weight in kilograms","130721.49"
"Albania","2024","Turbines; parts of hydraulic turbines and water wheels, including regulators","Import","247671.096","8275.06","Weight in kilograms","8275.06"
"Albania","2024","Turbines; parts of gas turbines (excluding turbo-jets and turbo-propellers)","Import","485.101","6.8","Weight in kilograms","6.8"
"Albania","2024","Engines; hydraulic power engines and motors, linear acting (cylinders)","Import","535969.003","26745.912","No Quantity",""
"Albania","2024","Engines; hydraulic power engines and motors, other than linear acting (cylinders)","Import","209957.786","9370.556","No Quantity",""
"Albania","2024","Engines; pneumatic power engines and motors, linear acting (cylinders)","Import","117054.472","6244.524","No Quantity",""
"Albania","2024","Engines; pneumatic power engines and motors, other than linear acting (cylinders)","Import","7008.638","792.863","No Quantity",""
"Albania","2024","Engines; pneumatic power engines and motors, n.e.c. in heading no. 8412","Import","27839.362","11596.998","No Quantity",""
"Albania","2024","Engines; parts, for engines and motors of heading no. 8412","Import","225726.239","19465.446","Weight in kilograms","19465.446"
"Albania","2024","Pumps; fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, of the type used in filling-stations or in garages","Import","452937.862","41966.11","No Quantity",""
"Albania","2024","Pumps; for liquids, fitted or designed to be fitted with a measuring device, other than pumps for dispensing fuel or lubricants","Import","166587.033","17977.391","No Quantity",""
"Albania","2024","Pumps; hand, fitted or designed to be fitted with a measuring device, for liquids, other than those of item no. 8413.11 or 8413.19","Import","163426.06","36976.669","No Quantity",""
"Albania","2024","Pumps; fuel, lubricating or cooling medium pumps for internal combustion piston engines","Import","2995744.635","121488.065","No Quantity",""
"Albania","2024","Pumps; concrete pumps","Import","163541.038","66190","Number of items","2.263"
"Albania","2024","Pumps; reciprocating positive displacement pumps, n.e.c. in heading no. 8413, for liquids","Import","1111962.017","51152.39","No Quantity",""
"Albania","2024","Pumps; rotary positive displacement pumps, n.e.c. in heading no. 8413, for liquids","Import","1868247.92","75658.494","No Quantity",""
"Albania","2024","Pumps; centrifugal, n.e.c. in heading no. 8413, for liquids","Import","6505213.964","804665.127","No Quantity",""
"Albania","2024","Pumps and liquid elevators; n.e.c. in heading no. 8413","Import","3062386.986","485431.022","No Quantity",""
"Albania","2024","Pumps and liquid elevators; n.e.c. in heading no. 8413","Export","50633.097","1820.77","Number of items","327"
"Albania","2024","Liquid elevators","Import","33557.431","2307.356","No Quantity",""
"Albania","2024","Pumps; parts thereof","Export","291314.427","13123.19","Weight in kilograms","13123.19"
"Albania","2024","Pumps; parts thereof","Import","7268993.4","756053.161","Weight in kilograms","756053.161"
"Albania","2024","Pumps; vacuum","Import","373152.869","20420.503","No Quantity",""
"Albania","2024","Pumps; hand or foot-operated air pumps","Import","146416.492","31737.499","No Quantity",""
"Albania","2024","Compressors; of a kind used in refrigerating equipment","Import","1460069.821","153924.338","No Quantity",""
"Albania","2024","Compressors; air compressors mounted on a wheeled chassis for towing","Import","496081.256","245365.94","No Quantity",""
"Albania","2024","Compressors; air compressors mounted on a wheeled chassis for towing","Export","20972.247","1846.5","Number of items","6"
"Albania","2024","Fans; table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125W","Import","1847129.465","518589.029","Number of items","67113.207"
"Albania","2024","Fans; n.e.c. in item no. 8414.51","Import","3545117.637","359924.834","No Quantity",""
"Albania","2024","Fans; n.e.c. in item no. 8414.51","Export","33546.983","4214.7","Number of items","162"
"Albania","2024","Hoods; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters, having a maximum horizontal side not exceeding 120cm","Import","4473886.058","489718.515","Number of items","42426.873"
"Albania","2024","Pumps and compressors; for air, vacuum or gas, n.e.c. in heading no. 8414","Import","2820107.248","455309.192","No Quantity",""
"Albania","2024","Pumps and compressors; for air, vacuum or gas, n.e.c. in heading no. 8414","Export","20886.283","15834.5","Number of items","95"
"Albania","2024","Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan","Import","1238016.02","67504.916","Weight in kilograms","67504.916"
"Albania","2024","Air conditioning machines; comprising a motor-driven fan and elements for changing the temperature and humidity, of a kind designed to be fixed to a window, wall, ceiling or floor, self-contained or "split-system"","Import","63733954.514","7889641.637","Number of items","204741.612"
"Albania","2024","Air conditioning machines; comprising a motor-driven fan and elements for changing the temperature and humidity, of a kind designed to be fixed to a window, wall, ceiling or floor, self-contained or "split-system"","Export","24674.418","1928.28","Number of items","88"
"Albania","2024","Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, of a kind used for persons, in motor vehicles","Import","162340.613","15055.08","No Quantity",""
"Albania","2024","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)","Import","1295661.737","93929.445","No Quantity",""
"Albania","2024","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit","Import","1733567.354","101247.72","No Quantity",""
"Albania","2024","Air conditioning machines; containing a motor driven fan, other than window or wall types, not incorporating a refrigerating unit","Import","1551155.192","97693.53","No Quantity",""
"Albania","2024","Air conditioning machines; with motor driven fan and elements for temperature control, parts thereof","Export","106851.506","4489.68","Weight in kilograms","4489.68"
"Albania","2024","Air conditioning machines; with motor driven fan and elements for temperature control, parts thereof","Import","16021456.52","1253932.883","Weight in kilograms","1253932.883"
"Albania","2024","Furnaces; furnace burners, for pulverized solid fuel or gas, including combination burners","Import","64345.154","1591.58","Weight in kilograms","1591.58"
"Albania","2024","Furnaces; parts of furnace burners, for liquid fuel, pulverized solid fuel or gas, mechanical stokers, grates, ash dischargers and the like","Import","161106.999","7251.82","Weight in kilograms","7251.82"
"Albania","2024","Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use","Import","266735.636","29551.96","No Quantity",""
"Albania","2024","Ovens; non-electric, bakery ovens, including biscuit ovens","Import","676901.391","118999.3","No Quantity",""
"Albania","2024","Furnaces and ovens; including incinerators, non-electric, for industrial or laboratory use, n.e.c. in heading no. 8417","Import","228615.018","78936.4","No Quantity",""
"Albania","2024","Furnaces and ovens; parts of non-electric furnaces and ovens (including incinerators), of industrial or laboratory use","Import","395621.314","27457.64","Weight in kilograms","27457.64"
"Albania","2024","Refrigerators and freezers; combined refrigerator-freezers, fitted with separate external doors, electric or other","Import","24030067.569","4726711.781","Number of items","63012.698"
"Albania","2024","Refrigerators and freezers; combined refrigerator-freezers, fitted with separate external doors, electric or other","Export","5414.839","1401","Number of items","11"
"Albania","2024","Refrigerators; for household use, compression-type, electric or other","Import","1343256.567","272293.856","Number of items","5366.363"
"Albania","2024","Refrigerators; for household use, compression-type, electric or other","Export","5005.373","279.8","Number of items","7"
"Albania","2024","Refrigerators; household, electric or not, other than compression-type","Import","383877.32","90378.67","No Quantity",""
"Albania","2024","Freezers; of the chest type, not exceeding 800l capacity","Import","3907438.88","978169.35","Number of items","17378.278"
"Albania","2024","Freezers; of the upright type, not exceeding 900l capacity","Import","514397.633","69942.443","Number of items","1372.861"
"Albania","2024","Furniture incorporating refrigerating or freezing equipment; for storage and display, n.e.c. in item no. 8418.1, 8418.2, 8418.3 or 8418.4 (chests, cabinets, display counters, show-cases and the like)","Export","449881.935","81451","Number of items","416"
"Albania","2024","Furniture incorporating refrigerating or freezing equipment; for storage and display, n.e.c. in item no. 8418.1, 8418.2, 8418.3 or 8418.4 (chests, cabinets, display counters, show-cases and the like)","Import","12818683.324","2130141.345","Number of items","12029.016"
"Albania","2024","Heat pumps; other than air conditioning machines of heading no. 8415","Import","3398116.197","243860.1","No Quantity",""
"Albania","2024","Refrigerating or freezing equipment; n.e.c. in heading no. 8418","Import","4521596.163","281109.002","Weight in kilograms","281109.002"
"Albania","2024","Refrigerating or freezing equipment; n.e.c. in heading no. 8418","Export","117488.743","7268","Weight in kilograms","7268"
"Albania","2024","Refrigerating or freezing equipment; parts, furniture designed to receive refrigerating or freezing equipment","Import","52792.326","25999.8","Weight in kilograms","25999.8"
"Albania","2024","Refrigerating or freezing equipment; parts thereof, other than furniture","Import","2694014.423","301923.78","Weight in kilograms","301923.78"
"Albania","2024","Heaters; instantaneous gas water heaters, for domestic or other purposes","Import","38392.379","5067.7","No Quantity",""
"Albania","2024","Heaters; solar water heaters, non-electric","Import","849498.268","206894.5","Number of items","4457.867"
"Albania","2024","Heaters; instantaneous or storage water heaters, non-electric, (other than instantaneous gas or solar water heaters)","Import","3838470.661","878673.303","Number of items","7176.929"
"Albania","2024","Sterilizers; for medical, surgical or laboratory use, not used for domestic purposes","Import","378199.8","27862.11","No Quantity",""
"Albania","2024","Dryers; for products n.e.c. in heading no. 8419, not used for domestic purposes","Import","402212.274","65095.214","No Quantity",""
"Albania","2024","Distilling or rectifying plant; not used for domestic purposes","Import","11620.397","547.12","No Quantity",""
"Albania","2024","Heat exchange units; not used for domestic purposes","Import","1105159.143","52143.368","No Quantity",""
